***********************************************************
* PhotonsTot     : 781
* PhotonsDet     : 53
* MaxIndex       : 16   16
* Baseline       : 6488.87      6485.53
* Maximum        : 1235.45      1828.68
* MaxTime        : 16.4495      15.9682
* WeightedArrival: 7.60428      9.25682
* MinimumArrival : 4.31606      4.36491
***********************************************************
104     6419    6421
108     6556    6393
112     6477    6421
116     6444    6514
120     6407    6538
124     6438    6420
128     6471    6491
132     6476    6412
136     6535    6453
140     6577    6454
144     6534    6582
148     6410    6495
152     6452    6427
156     6562    6579
160     6537    6411
164     6566    6526
168     6525    6442
172     6558    6403
176     6478    6405
180     6549    6479
184     6536    6425
188     6556    6448
192     6410    6476
196     6533    6506
200     6397    6455
204     6493    6546
208     6497    6394
212     6542    6428
216     6464    6514
220     6482    6447
224     6534    6508
228     6510    6459
232     6538    6455
236     6508    6534
240     6411    6551
244     6489    6484
248     6523    6553
252     6567    6391
256     6434    6496
260     6514    6564
264     6499    6552
268     6577    6434
272     6518    6500
276     6526    6551
280     6465    6549
284     6567    6471
288     6495    6434
292     6557    6469
296     6408    6419
300     6470    6529
304     6542    6534
308     6404    6510
312     6540    6426
316     6457    6431
320     6537    6530
324     6426    6470
328     6539    6477
332     6513    6511
336     6474    6483
340     6481    6547
344     6507    6485
348     6524    6473
352     6461    6495
356     6417    6452
360     6392    6490
364     6584    6471
368     6484    6429
372     6455    6547
376     6443    6510
380     6543    6525
384     6521    6434
388     6572    6557
392     6425    6512
396     6411    6410
***********************************************************
* PhotonsTot     : 925
* PhotonsDet     : 69
* MaxIndex       : 18   18
* Baseline       : 6472.47      6485.47
* Maximum        : 1919.66      2419.62
* MaxTime        : 17.6512      18.1287
* WeightedArrival: 8.64287      9.67825
* MinimumArrival : 5.04377      5.69144
***********************************************************
0       6419    6582
4       6477    6444
8       6415    6562
12      6396    6441
16      6498    6411
20      6457    6422
24      6450    6524
28      6512    6528
32      6439    6581
36      6489    6452
40      6542    6531
44      6549    6405
48      6436    6503
52      6506    6497
56      6502    6399
60      6571    6469
64      6902    6818
68      8100    7454
72      8291    8875
76      6621    7010
80      6767    6461
84      6572    6527
88      6454    6506
92      6411    6583
96      6435    6526
100     6562    6515
104     6423    6435
108     6516    6541
112     6443    6538
116     6483    6395
120     6554    6401
124     6539    6532
128     6509    6420
132     6414    6573
136     6572    6514
140     6501    6525
144     6455    6402
148     6473    6419
152     6582    6469
156     6505    6490
160     6403    6475
164     6564    6551
168     6536    6551
172     6434    6537
176     6475    6489
180     6458    6429
184     6497    6433
188     6395    6453
192     6464    6434
196     6396    6392
200     6436    6458
204     6524    6481
208     6563    6571
212     6519    6425
216     6555    6490
220     6454    6572
224     6491    6554
228     6534    6544
232     6571    6581
236     6472    6486
240     6579    6551
244     6567    6480
248     6541    6518
252     6551    6526
256     6448    6550
260     6515    6506
264     6498    6415
268     6544    6417
272     6486    6434
276     6557    6428
280     6496    6525
284     6472    6565
288     6580    6487
292     6570    6506
296     6390    6494
300     6428    6570
304     6429    6458
308     6500    6548
312     6563    6585
316     6534    6501
320     6399    6397
324     6532    6454
328     6557    6574
332     6453    6473
336     6568    6481
340     6480    6579
344     6464    6562
348     6421    6473
352     6538    6575
356     6577    6446
360     6501    6501
364     6522    6468
368     6470    6510
372     6497    6403
376     6419    6534
380     6556    6448
384     6445    6485
388     6542    6515
392     6487    6398
396     6456    6391
***********************************************************
* PhotonsTot     : 699
* PhotonsDet     : 47
* MaxIndex       : 16   18
* Baseline       : 6484.87      6489.67
* Maximum        : 828.517      726.142
* MaxTime        : 15.7788      17.647
* WeightedArrival: 9.19608      10.1245
* MinimumArrival : 3.97432      4.50566
***********************************************************
0       6411    6423
4       6396    6569
8       6499    6523
12      6471    6482
16      6468    6457
20      6477    6496
24      6499    6411
28      6532    6550
32      6521    6516
36      6525    6404
40      6529    6570
44      6515    6436
48      6516    6549
52      6435    6528
56      6479    6431
60      6570    6471
64      7273    6883
68      6680    7135
72      7194    7183
76      6537    6605
80      6594    6825
84      6501    6395
88      6550    6450
92      6439    6397
96      6413    6450
100     6444    6400
104     6437    6508
108     6434    6553
112     6529    6498
116     6531    6560
120     6552    6506
124     6556    6513
128     6442    6398
132     6450    6546
136     6584    6466
140     6512    6416
144     6430    6512
148     6436    6396
152     6485    6445
156     6474    6553
160     6492    6584
164     6583    6491
168     6553    6579
172     6428    6471
176     6465    6484
180     6447    6427
184     6414    6423
188     6523    6469
192     6575    6514
196     6570    6450
200     6431    6572
204     6398    6403
208     6532    6574
212     6544    6509
216     6432    6433
220     6534    6452
224     6482    6398
228     6493    6432
232     6470    6576
236     6452    6393
240     6509    6524
244     6579    6477
248     6419    6549
252     6522    6429
256     6581    6572
260     6542    6474
264     6526    6432
268     6517    6545
272     6439    6533
276     6470    6515
280     6444    6399
284     6412    6435
288     6577    6419
292     6457    6538
296     6517    6492
300     6544    6396
304     6490    6538
308     6535    6566
312     6570    6514
316     6458    6439
320     6584    6452
324     6563    6424
328     6504    6523
332     6445    6459
336     6394    6470
340     6534    6511
344     6417    6397
348     6512    6397
352     6471    6515
356     6393    6440
360     6586    6557
364     6567    6475
368     6401    6520
372     6442    6491
376     6539    6569
380     6407    6404
384     6534    6505
388     6436    6558
392     6499    6443
396     6510    6446
***********************************************************
* PhotonsTot     : 983
* PhotonsDet     : 85
* MaxIndex       : 16   16
* Baseline       : 6511.27      6511.07
* Maximum        : 1414.95      2106.88
* MaxTime        : 16.3779      16.1234
* WeightedArrival: 6.98205      6.60836
* MinimumArrival : 4.12084      4.07219
***********************************************************
0       6467    6546
4       6574    6444
8       6459    6542
12      6567    6558
16      6488    6408
20      6426    6543
24      6545    6418
28      6458    6584
32      6560    6480
36      6564    6496
40      6533    6546
44      6491    6526
48      6502    6529
52      6571    6542
56      6464    6504
60      6822    7537
64      7854    8599
68      7760    7364
72      6996    7015
76      6596    6589
80      6522    6465
84      6557    6459
88      6492    6475
92      6514    6552
96      6561    6440
100     6396    6471
104     6561    6564
108     6398    6426
112     6415    6503
116     6513    6470
120     6581    6452
124     6447    6531
128     6443    6538
132     6542    6460
136     6417    6458
140     6519    6466
144     6492    6475
148     6483    6493
152     6521    6510
156     6570    6465
160     6480    6533
164     6534    6416
168     6448    6455
172     6538    6446
176     6497    6441
180     6432    6492
184     6504    6585
188     6555    6489
192     6544    6474
196     6522    6462
200     6422    6451
204     6516    6442
208     6444    6475
212     6558    6418
216     6522    6476
220     6461    6456
224     6528    6480
228     6410    6546
232     6546    6586
236     6412    6584
240     6415    6446
244     6440    6448
248     6529    6484
252     6481    6559
256     6462    6423
260     6515    6414
264     6399    6455
268     6395    6494
272     6555    6552
276     6500    6477
280     6471    6510
284     6509    6417
288     6399    6556
292     6492    6423
296     6392    6420
300     6510    6462
304     6395    6484
308     6568    6395
312     6405    6535
316     6443    6412
320     6426    6522
324     6515    6432
328     6496    6466
332     6454    6403
336     6534    6578
340     6541    6462
344     6566    6481
348     6402    6562
352     6575    6530
356     6390    6463
360     6554    6526
364     6570    6457
368     6421    6426
372     6436    6446
376     6531    6516
380     6482    6499
384     6531    6444
388     6481    6396
392     6417    6413
396     6395    6521
***********************************************************
* PhotonsTot     : 920
* PhotonsDet     : 75
* MaxIndex       : 17   18
* Baseline       : 6485.07      6515.07
* Maximum        : 1227.93      1860.23
* MaxTime        : 16.502       18.0346
* WeightedArrival: 9.69025      9.20895
* MinimumArrival : 4.87787      5.03661
***********************************************************
0       6436    6523
4       6407    6467
8       6526    6566
12      6507    6583
16      6470    6578
20      6396    6543
24      6462    6524
28      6574    6487
32      6435    6546
36      6560    6470
40      6459    6548
44      6523    6431
48      6554    6461
52      6477    6572
56      6490    6427
60      6390    6578
64      7601    7140
68      7638    7634
72      7353    8374
76      6883    6995
80      6926    6527
84      6568    6408
88      6507    6487
92      6556    6530
96      6584    6488
100     6390    6497
104     6432    6527
108     6402    6535
112     6488    6533
116     6512    6485
120     6581    6416
124     6398    6415
128     6413    6411
132     6451    6573
136     6537    6423
140     6569    6534
144     6487    6402
148     6418    6404
152     6412    6392
156     6546    6486
160     6447    6428
164     6500    6484
168     6578    6573
172     6461    6552
176     6505    6493
180     6537    6500
184     6535    6416
188     6496    6501
192     6457    6436
196     6424    6443
200     6579    6449
204     6484    6512
208     6475    6513
212     6492    6502
216     6451    6492
220     6442    6393
224     6579    6487
228     6581    6549
232     6575    6560
236     6490    6449
240     6577    6512
244     6583    6407
248     6440    6493
252     6494    6527
256     6445    6403
260     6568    6426
264     6574    6571
268     6516    6394
272     6523    6505
276     6500    6585
280     6413    6431
284     6440    6460
288     6525    6572
292     6583    6503
296     6476    6508
300     6532    6411
304     6444    6504
308     6516    6428
312     6532    6409
316     6542    6409
320     6401    6490
324     6558    6567
328     6561    6535
332     6487    6561
336     6482    6399
340     6392    6433
344     6526    6565
348     6560    6491
352     6411    6540
356     6552    6560
360     6413    6548
364     6471    6481
368     6421    6444
372     6451    6398
376     6516    6458
380     6451    6537
384     6518    6582
388     6580    6431
392     6575    6524
396     6510    6555
